"","sd2.lon","sd2.lat"
"708",-84.34286,33.7833
"709",-83.88386,31.96206
"710",-83.28232,33.61196
"711",-83.66626,32.83213
"712",-82.1333,30.8001
"713",-84.62314,33.34678
"714",-83.74695,33.0936
"715",-84.32292,34.0335
"716",-81.12264,31.63513
"717",-81.4669,31.4669
"718",-81.0667,32.08419
"719",-91.5833,42.1667
"720",-94.8167,43.4
"721",-93.9,40.6167
"722",-91.1,40.8333
"723",-91.1333,40.8333
"724",-96,41.4833
"725",-96.0333,41.55
"726",-93.57114,42.00769
"727",-91.81257,42.40607
"728",-93.90274,42.03624
"729",-92.2332,42.71665
"730",-91.10965,40.83652
"731",-95.0619,41.3461
"732",-92.45,42.5167
"733",-90.17401,41.98009
"734",-91.66947,41.97897
"735",-90.51324,41.55218
"736",-91.7333,43.38331
"737",-94.11465,41.67217
"738",-93.70367,41.60039
"739",-95.96418,41.4509
"740",-90.71137,42.49117
"741",-95.7167,40.95
"742",-91.60763,41.75218
"743",-94.33749,41.78898
"744",-91.45812,40.47259
"745",-93.84,40.67197
"746",-90.82045,41.94571
"747",-93.4667,41.0333
"748",-93.103,43.16922
"749",-91.01067,41.42745
"750",-91.57932,42.19654
"751",-93.92166,41.37671
"752",-91.4585,42.9353
"753",-90.35461,41.7486
"754",-92.9447,40.8122
"755",-93.02423,41.38662
"756",-96.40724,42.49136
"757",-91.2205,42.78231
"758",-95.48086,40.72111
"759",-94.85,40.7
"760",-95.10228,43.42262
"761",-90.47709,42.16396
"762",-93.75623,41.80375
"763",-94.47134,40.67566
"764",-95.7667,40.6167
"765",-94.1167,43.2667
"766",-93.30556,41.53917
"767",-96.51166,42.7146
"768",-91.2,43.15001
"769",-113.9833,44.6333
"770",-114.3667,43.6833
"771",-112.70001,42.98331
"772",-116.31836,48.69945
"773",-114.82,42.63
"774",-111.30683,42.21933
"775",-116.19954,43.61773
"776",-115.858,42.9252
"777",-116.78817,47.73804
"778",-114.2114,44.4753
"779",-111.4167,43.0667
"780",-115.95439,44.09193
"781",-113.06944,43.86278
"782",-114.9,42.8167
"783",-112.05965,43.51718
"784",-116.0833,47.38331
"785",-113.4666,42.15
"786",-116.6725,46.55499
"787",-116.952,46.414
"788",-116.0992,44.90934
"789",-117.0396,46.7311
"790",-116.67293,43.56804
"791",-112.43011,42.86763
"792",-113.97786,44.62872
"793",-111.85781,43.79726
"794",-113.65,42.6167
"795",-113.89527,45.17759
"796",-116.70768,47.96625
"797",-116.56239,48.27491
"798",-114.06696,43.3081
"799",-113.9831,42.16669
"800",-114.46346,42.55652
"801",-111.11103,43.72305
"802",-88.3833,41.8833
"803",-88.3833,42.3167
"804",-89.1167,42.3667
"805",-88,39.3333
"806",-88.45,39.35
"807",-88.7,39.4833
"808",-89.4,39.5667
"809",-88.6667,39.7
"810",-88.3,40.1
"811",-89,40.4833
"812",-89.4833,40.9
"813",-88.8333,37.2667
"814",-89.3667,41.2833
"815",-88.1667,41.5
"816",-88.9667,38.5167
"817",-90.0167,38.6333
"818",-90.72237,41.35631
"819",-89.3228,37.575
"820",-88.13331,42.06679
"821",-90.83489,40.95929
"822",-91.0333,39.75
"823",-88.07596,38.75288
"824",-89.83974,38.28581
"825",-88.94478,40.5644
"826",-88.50773,41.73339
"827",-90.50431,40.54522
"828",-89.95,40.41671
"829",-88.11447,40.05512
"830",-88.13727,39.44117
"831",-89.2667,38.7
"832",-89.49659,40.89663
"833",-87.58543,41.88232
"834",-89.02116,37.71961
"835",-87.53955,41.61548
"836",-90.23232,40.12334
"837",-88.79989,40.16679
"838",-87.72635,41.90988
"839",-89.95883,38.70809
"840",-89.02131,37.31896
"841",-88.9535,39.84256
"842",-88.76666,42.0333
"843",-90.12993,41.01832
"844",-90.36101,38.95473
"845",-90.49389,41.22122
"846",-87.78824,42.1379
"847",-88.26267,41.88266
"848",-87.66671,40
"849",-89.6372,42.28883
"850",-89.3311,37.2089
"851",-89.3389,41.2552
"852",-88.6957,41.317
"853",-89.35,37.71671
"854",-88.12438,41.51131
"855",-89.08631,42.18117
"856",-87.86737,41.12089
"857",-87.97382,41.75181
"858",-87.7,39.35
"859",-89.92601,41.71749
"860",-88.36504,42.32034
"861",-90.2333,38.23941
"862",-87.70092,40.24705
"863",-90.59374,39.85421
"864",-88.75,37.20001
"865",-89.66503,37.76797
"866",-90.1978,39.67536
"867",-88.59,38.31501
"868",-88.30158,41.30342
"869",-88.31814,38.04406
"870",-89.62017,40.69994
"871",-90.60515,38.99681
"872",-89.3833,41.3167
"873",-91.3965,39.93184
"874",-88.87085,42.35035
"875",-88.96772,38.13244
"876",-89.1667,42.36671
"877",-90.59452,40.14652
"878",-90.20534,42.39668
"879",-88.77002,39.42001
"880",-89.65,39.8
"881",-88.9828,41.3169
"882",-87.72498,41.45632
"883",-89.40476,37.46757
"884",-89.62595,41.70194
"885",-87.87422,42.34929
"886",-90.9198,41.17024
"887",-89.4061,41.95978
"888",-88.61114,37.40557
"889",-86.3667,39.05
"890",-86.4,39.2167
"891",-86.7,39.2833
"892",-85.7667,39.5167
"893",-85.0667,39.5333
"894",-87.3167,40.3333
"895",-87.2333,40.3667
"896",-87.95,37.8833
"897",-87.95,37.9333
"898",-86.5833,38.1667
"899",-85.8333,41.55
